imdbId,Genre,umap_x,umap_y,cluster_dbscan
109903,Drama|Thriller|Crime,6.694404,4.982605,2
1485749,Drama|War,2.9493508,1.5075924,4
2855648,Action|Drama|History,6.209529,3.5360146,2
5497132,Documentary,6.2006216,5.2343373,2
758730,Action|Horror|Sci-Fi,7.395584,4.174084,2
3142224,Comedy,7.212425,3.4164703,2
391274,Action|Drama,6.4079823,2.850165,2
1791682,Comedy|Drama|Mystery,0.7820671,2.4002798,10
1144815,Comedy|Drama,4.382882,2.6335864,4
93223,Crime|Thriller,3.614319,6.48452,5
48967,Drama,0.60943556,4.1661673,3
1322355,Horror|Sci-Fi|Thriller,2.569568,5.8248577,1
360025,Comedy,0.7117349,4.4830985,3
233230,Crime|Drama,1.9737835,5.1012073,-1
1935065,Comedy|Romance,5.449587,3.570247,2
1508328,Short|Sci-Fi,3.4762611,5.105207,5
1059887,Action|Comedy,2.892232,4.9250317,1
2112206,Biography|Drama|Music,7.0097737,3.5596235,2
1305112,Horror,7.240247,3.5725918,2
120032,Comedy,3.011474,0.938406,4
1810798,Drama,2.5275435,2.3235044,-1
494222,Comedy|Romance,5.5787416,2.4690375,2
3242934,Documentary|Biography|News,4.4281816,5.3469296,5
1954352,Drama|Sport,5.9022284,3.5176468,2
3591946,Family|Sci-Fi,5.4824595,2.4909751,2
169156,Drama|Mystery|Thriller,3.8104763,6.514566,5
69792,Action|Crime|Drama,1.3434341,3.2156234,3
486674,Comedy|Drama,4.239202,4.9620395,2
1384927,Animation|Drama,3.5708454,3.8822544,2
163862,Adventure|Family|Fantasy,6.246822,5.7631283,2
83946,Adventure|Drama,5.704224,3.3621624,2
936471,Comedy|Horror,2.6159048,1.1828899,4
2573750,Action|Drama,6.4023075,2.3766239,2
374639,Adventure|Comedy|Horror,7.0188046,4.374835,2
970468,Comedy|Romance,6.8627267,3.4476817,2
69226,Fantasy|Comedy,3.2907562,1.3487947,4
1532958,Drama|Music,2.4288275,3.4380186,3
346513,Comedy,3.3017879,1.3584961,4
118764,Comedy|Drama|Sport,1.6973132,3.5162544,3
124578,Drama,6.309381,5.78642,2
299937,Drama,1.5676779,2.5086539,3
1295053,Short|Horror,4.852312,6.0065556,5
2366572,Documentary|Music,5.1298833,5.6127186,-1
82719,Biography|Drama,5.5901423,3.8396976,2
106545,Action|Comedy|Sci-Fi,5.388717,4.699135,2
463998,Biography|Crime|Drama,5.013847,4.870745,2
3148502,Comedy|Drama|Romance,5.587113,2.863446,2
120710,Drama|Fantasy|Thriller,2.8644168,6.4221134,9
347167,Action|Adventure|Drama,5.616847,2.293933,2
107148,Drama,5.0752077,2.5135622,2
1278124,Horror|Thriller,6.5724063,4.8606586,2
73496,Biography|Drama|Romance,3.0551558,3.068944,3
57608,Horror|Mystery|Romance,2.6266346,1.215656,4
103110,Biography|Drama|Music,4.2006626,5.6210647,5
331218,Animation|Short|Comedy,2.411527,4.495856,8
82009,Animation|Drama|Music,3.9968388,6.360155,5
52225,Musical|Romance|War,0.87850577,4.0865474,3
429277,Thriller,6.7312417,3.3060646,2
110629,Comedy,6.0416446,2.3124568,2
2429074,Comedy|Romance,3.2991538,2.6124842,4
485701,Horror,1.0860074,5.03769,3
1969175,Drama|Family|Sport,2.3723676,4.9793878,1
3350890,Horror|Thriller,5.758755,4.5878143,2
2326087,Action|Adventure|Comedy,2.8105638,4.783396,1
1519635,Documentary|News,4.344613,4.6688404,2
257497,Drama|History|War,5.3587317,4.610551,2
1176686,Drama,3.2063289,2.3752549,4
117293,Documentary|Crime|Drama,3.1680195,1.0239767,4
300214,Drama,3.3081756,5.7251844,5
107156,Comedy|Drama|Romance,3.3184419,0.93628234,4
84914,Biography|Drama|History,6.619945,3.7929506,2
2275946,Action|Comedy|Crime,4.2926636,4.207263,2
100814,Comedy|Horror,7.147171,3.5273733,2
55894,Horror|Sci-Fi,2.976533,1.7681891,4
1168662,Documentary|Romance,0.7544531,2.3856146,10
375611,Drama,2.5628803,5.7765746,1
90184,Comedy,7.009026,3.826938,2
119664,Action|Comedy|Crime,3.6359282,4.97093,5
172632,Drama,0.485079,3.4519644,3
1540741,Crime|Drama|Thriller,5.9033613,5.134245,2
1172571,Horror|Mystery|Thriller,5.6193266,2.8097243,2
400761,Drama,1.9913386,2.5812016,3
2488496,Action|Adventure|Fantasy,5.7263985,5.2267976,2
61398,Horror|Mystery|Thriller,1.9824612,2.4495733,3
475290,Comedy|Mystery,1.4782623,2.3780582,3
329429,Drama,0.94961935,4.6459064,3
296881,Documentary,2.5798886,2.6886368,3
77594,Action|Crime|Drama,2.2406752,5.681547,7
102307,Crime|Drama,4.8055205,4.8287115,2
35575,Biography|Drama|Musical,1.9955083,2.6695623,3
71089,Action|Adventure|Comedy,0.56218815,4.1819243,3
1293751,Documentary,4.3630385,5.930626,5
1314269,Drama,1.2957444,4.241491,11
878647,Action|Thriller,1.9662861,5.6548905,7
